focalsample_date,individual_id,focal_unit_name,duration,Year,Month,Band,Infant,TakeoverID,Period,Groom.F,Groom.M,Prop.M,Prop.F
9/18/12,32,A,15.37,2012,9,Mid,Y,DIE2013-03-01,Pre,0,0,0,0
9/23/14,32,A,15.47,2014,9,Mid,Y,OBE2015-03-18,Pre,0.52,0,0,0.03
10/1/14,32,A,15.28,2014,10,Mid,Y,OBE2015-03-18,Pre,0,0,0,0
10/13/14,32,A,15.13,2014,10,Mid,Y,OBE2015-03-18,Pre,0,0,0,0
11/30/15,32,A,15.18,2015,11,Mid,Y,POL2016-03-31,Pre,0,0,0,0
9/23/14,35,A,15.68,2014,9,Mid,Y,OBE2015-03-18,Pre,0,0,0,0
3/30/16,35,A,15.08,2016,3,Mid,Y,POL2016-03-31,Pre,0,0,0,0
11/28/15,37,A,15.33,2015,11,Mid,Y,POL2016-03-31,Pre,0,0,0,0
3/30/16,37,A,15.33,2016,3,Mid,Y,POL2016-03-31,Pre,0,0,0,0
9/17/12,38,A,15.2,2012,9,Mid,Y,DIE2013-03-01,Pre,0,0,0,0
10/3/12,38,A,15.23,2012,10,Mid,Y,DIE2013-03-01,Pre,0,0,0,0
10/22/12,38,A,15.37,2012,10,Mid,Y,DIE2013-03-01,Pre,0,0,0,0
11/7/12,38,A,15.42,2012,11,Mid,Y,DIE2013-03-01,Pre,0,0,0,0
11/17/12,38,A,15.2,2012,11,Mid,Y,DIE2013-03-01,Pre,0,0,0,0
12/8/12,38,A,15.55,2012,12,Mid,Y,DIE2013-03-01,Pre,2.85,0,0,0.18
12/21/12,38,A,14.57,2012,12,Mid,Y,DIE2013-03-01,Pre,0.3,0,0,0.02
9/23/14,38,A,15.67,2014,9,Mid,Y,OBE2015-03-18,Pre,0,0,0,0
10/1/14,38,A,15.4,2014,10,Mid,Y,OBE2015-03-18,Pre,0,0,0,0
10/13/14,38,A,15,2014,10,Mid,Y,OBE2015-03-18,Pre,0,0,0,0
9/23/14,39,A,15.73,2014,9,Mid,Y,OBE2015-03-18,Pre,0,0,0,0
10/1/14,39,A,15.27,2014,10,Mid,Y,OBE2015-03-18,Pre,0,0,0,0
11/9/12,71,B,15.35,2012,11,Mid,Y,SOL2013-04-05,Pre,0,0,0,0
11/19/12,71,B,15.12,2012,11,Mid,Y,SOL2013-04-05,Pre,0,0,0,0
12/13/12,71,B,15.2,2012,12,Mid,Y,SOL2013-04-05,Pre,0,0,0,0
12/25/12,71,B,15.35,2012,12,Mid,Y,SOL2013-04-05,Pre,5.6,0,0,0.36
3/14/09,79,B,15.52,2009,3,Mid,Y,LEA2009-07-24,Pre,0.85,9.53,0.61,0.05
3/14/09,79,B,15.72,2009,3,Mid,Y,LEA2009-07-24,Pre,0,0,0,0
