Period,Infant,CodeFemale,focal_unit_name,TakeoverID,focalsample_id,partner_name,Partner.Cat,Duration,Risk
Pre,N,ID11,A,AVO2009-04-15,12504,Alexandra,Sisters,5.87,0
Pre,N,ID11,A,POL2016-03-31,4932,Amelia,Mother-daughter,7.50,0
Pre,N,ID11,A,POL2016-03-31,4933,Amelia,Mother-daughter,0.20,0
Pre,N,ID75,A,DIE2013-03-01,53221,Ani,Other close kin,4.30,0
Pre,N,ID2,A,POL2016-03-31,4944,Aiwa,Mother-daughter,6.17,0
Pre,N,ID2,A,POL2016-03-31,4945,Aiwa,Mother-daughter,1.20,0
Pre,N,ID15,A,POL2016-03-31,4949,Ant,Mother-daughter,1.82,0
Pre,N,ID10,A,DIE2013-03-01,53245,Ani,Mother-daughter,12.20,0
Pre,N,ID10,A,DIE2013-03-01,53246,Alexandra,Other close kin,1.08,0
Pre,N,ID10,A,POL2016-03-31,4954,Autumn,Sisters,2.72,0
Pre,N,ID113,B1,SOL2013-04-05,53281,Bryonny,Other close kin,0.90,0
Pre,N,ID9,B,LUP2016-01-16,4966,Biera,Mother-daughter,6.07,0
Pre,N,ID9,B,LUP2016-01-16,4968,Biera,Mother-daughter,14.22,0
Pre,N,ID9,B,SOL2013-04-05,53301,Brindle,Sisters,2.12,0
Pre,N,ID59,B,GOH2009-07-24,12586,Botox,Non-kin,1.92,1
Pre,N,ID83,B1,SOL2013-04-05,53324,Bryonny,Mother-daughter,1.13,0
Pre,N,ID7,B1,LUP2016-01-16,4980,Buffy,Sisters,7.07,0
Pre,N,ID114,B1,LUP2016-01-16,4988,Buna,Mother-daughter,8.32,0
Pre,N,ID114,B1,LUP2016-01-16,4989,Byork,Non-kin,3.12,1
Pre,N,ID115,B1,LUP2016-01-16,4994,Barbara,Mother-daughter,8.37,0
Pre,N,ID116,B1,SOL2013-04-05,53366,Buna,Non-kin,7.25,1
Pre,N,ID117,B1,LUP2016-01-16,5002,Brindle,Mother-daughter,3.22,0
Pre,N,ID117,B1,LUP2016-01-16,5003,Brindle,Mother-daughter,12.20,0
