Mom,Infant,Unit,Mos,Year,Sex,DOB,End.Date,Censored,N.Females,N.Males,unit.cat,End.Age,Mom.DOB,Mom.Age,Grooming.F,Total.Mom.Focal,Total.Fem.Focal,Grooming.M,Total.Male.Focal,Index.M,Index.F,Index.F.original,Index.M.original,Band,BandYear,Above.Male,Above.Female,Age.Cat,Takeover,fem.quartile,male.quartile
ID66,ID66_1,C3,4,2009,F,4/11/09,9/30/11,1,2,2,SMALL,2.47,9/19/02,6.56,0.047,4.936,45.657,0.073,5.914,-0.484938139,-0.313203027,-0.557045183,0.10410723,Small,Small_2009,Below,Below,Young,N,2,2
ID6,ID6_1,D,4,2009,M,4/16/09,5/15/09,1,5,2,MEDIUM,0.08,5/20/85,23.91,0.075,5.471,10.690,0.020,10.983,-1.164510567,0.167206224,0.115759757,-1.040232209,Small,Small_2009,Below,Above,Old,N,3,1
ID47,ID47_1,C2,6,2009,M,6/9/09,6/23/09,1,3,1,SMALL,0.04,5/25/89,20.04,0.002,5.681,70.024,0.156,7.458,1.448307918,-1.444062077,-1.623772337,1.88243095,Small,Small_2009,Above,Below,Old,N,1,4
ID98,ID98_3,V,8,2009,M,8/8/09,10/2/11,1,5,1,MEDIUM,2.15,3/1/01,8.44,0.074,12.136,13.921,0.045,10.035,-0.62433152,0.157776121,0.106329655,-0.500053162,Small,Small_2009,Below,Above,Middle-aged,N,3,1
ID8,ID8_2,D,9,2009,F,9/3/09,9/3/14,0,4,2,SMALL,5,2/16/01,8.54,0.120,12.229,10.684,0.062,14.823,-0.418935232,1.329516333,1.21393797,-0.139734537,Small,Small_2009,Below,Above,Middle-aged,N,4,2
ID69,ID69_3,J,11,2009,M,11/19/09,11/19/14,0,3,1,SMALL,5,5/1/01,8.55,0.101,4.949,4.383,0.054,13.307,-0.740641304,0.924500398,0.744790138,-0.306518272,Small,Small_2009,Below,Above,Middle-aged,N,4,1
ID61,ID61_2,C1,1,2010,M,1/1/10,12/20/12,1,7,1,MEDIUM,2.97,7/18/02,7.46,0.129,17.458,79.646,0.020,15.075,-0.858862567,1.848230431,1.925047757,-1.044428883,Small,Small_2010,Below,Above,Young,N,4,1
ID65,ID65_2,C1,1,2010,M,1/15/10,1/15/15,0,7,1,MEDIUM,5,2/15/03,6.92,0.054,7.586,89.518,0.043,15.075,-0.171856559,-0.293080708,-0.216263382,-0.357422874,Small,Small_2010,Below,Below,Young,N,2,2
ID79,ID79_1,C1,1,2010,F,1/24/10,1/24/15,0,7,1,MEDIUM,5,7/24/88,21.5,0.026,18.556,78.548,0.041,15.075,-0.248174778,-1.092440078,-1.015622752,-0.433741094,Small,Small_2010,Below,Below,Old,N,1,2
ID26,ID26_1,V,1,2010,M,1/25/10,5/14/11,1,5,1,MEDIUM,1.3,12/1/01,8.15,0.023,8.250,25.938,0.036,11.984,-0.702290687,-1.039539569,-1.090986035,-0.578012329,Small,Small_2010,Below,Below,Middle-aged,N,1,1
ID11,ID11_2,A,2,2010,F,2/8/10,2/8/15,0,4,2,SMALL,5,11/3/03,6.27,0.028,4.128,13.543,0.048,4.630,-0.508371402,-0.845283025,-0.960861388,-0.229170707,Mid,Mid_2010,Below,Below,Young,N,1,2
ID55,ID55_1,A,2,2010,M,2/8/10,9/22/10,1,4,2,SMALL,0.62,6/12/03,6.66,0.008,4.141,13.530,0.072,4.630,0.200683654,-1.410467456,-1.526045819,0.479884349,Mid,Mid_2010,Above,Below,Young,N,1,3
ID111,ID111_1,V,2,2010,F,2/12/10,8/6/10,1,5,1,MEDIUM,0.48,8/9/94,15.51,0.047,4.238,29.950,0.055,12.241,-0.144147901,-0.353736274,-0.40518274,-0.019869543,Small,Small_2010,Above,Below,Old,N,2,3
ID51,ID51_2,C1,3,2010,M,3/1/10,3/1/15,0,7,1,MEDIUM,5,3/1/97,13,0.064,18.458,82.065,0.033,15.848,-0.485871019,-0.003781457,0.07303587,-0.671437334,Small,Small_2010,Below,Above,Middle-aged,N,3,2
ID91,ID91_2,K,5,2010,M,5/21/10,5/31/10,1,4,2,SMALL,0.03,5/30/91,18.98,0.067,4.738,13.068,0.104,7.229,1.176949117,0.272982973,0.15740461,1.456149812,Small,Small_2010,Above,Above,Old,N,3,4
ID64,ID64_4,C1,7,2010,M,7/9/10,7/9/15,0,7,1,MEDIUM,5,2/17/04,6.39,0.087,9.892,117.255,0.023,19.278,-0.789368242,0.654582633,0.73139996,-0.974934558,Small,Small_2010,Below,Above,Young,Y,4,1
ID68,ID68_2,K,8,2010,M,8/28/10,2/15/11,1,4,2,SMALL,0.47,3/1/01,9.49,0.054,5.279,14.078,0.058,8.261,-0.214554448,-0.088649934,-0.204228298,0.064646247,Small,Small_2010,Below,Below,Middle-aged,N,2,2
ID75,ID75_1,A,9,2010,F,9/5/10,3/2/13,1,4,2,SMALL,2.49,5/30/04,6.27,0.056,5.216,16.078,0.061,6.700,-0.102653328,-0.041541043,-0.157119406,0.176547367,Mid,Mid_2010,Above,Above,Young,N,3,3
ID15,ID15_4,A,9,2010,F,9/11/10,9/11/15,0,4,2,SMALL,5,10/12/01,8.91,0.031,5.743,15.551,0.065,6.700,-0.006814785,-0.759971001,-0.875549364,0.272385911,Mid,Mid_2010,Above,Below,Middle-aged,N,2,3
ID101,ID101_1,G,9,2010,M,9/23/10,9/23/15,0,4,1,SMALL,5,9/26/98,11.99,0.063,4.418,21.006,0.021,17.763,-1.311800853,0.154166303,0.03858794,-1.032600158,Mid,Mid_2010,Below,Above,Middle-aged,N,3,1
ID44,ID44_2,C1,9,2010,M,9/30/10,9/30/15,0,7,1,MEDIUM,5,9/1/94,16.08,0.127,13.554,123.101,0.009,24.008,-1.203820598,1.79738634,1.874203667,-1.389386913,Small,Small_2010,Below,Above,Old,Y,4,1
ID17,ID17_3,G,10,2010,M,10/8/10,10/8/15,0,4,1,SMALL,5,7/23/02,8.21,0.098,4.177,22.562,0.119,19.310,1.598175425,1.154724646,1.039146283,1.87737612,Mid,Mid_2010,Above,Above,Middle-aged,N,4,4
ID72,ID72_2,M,10,2010,F,10/18/10,10/18/15,0,10,2,LARGE,5,1/1/98,12.79,0.071,4.386,24.609,0.069,8.280,1.062965325,0.002987614,0.27220063,0.412631998,Mid,Mid_2010,Above,Above,Middle-aged,Y,3,4
ID28,ID28_2,D,10,2010,M,10/29/10,10/29/15,0,4,2,SMALL,5,5/1/97,13.49,0.075,10.713,36.090,0.026,37.514,-1.15537459,0.499217744,0.383639381,-0.876173895,Small,Small_2010,Below,Above,Middle-aged,N,3,1
ID81,ID81_3,G,10,2010,M,10/30/10,10/30/15,0,4,1,SMALL,5,6/1/96,14.41,0.119,8.278,24.594,0.047,21.888,-0.529009646,1.760811355,1.645232992,-0.249808951,Mid,Mid_2010,Below,Above,Middle-aged,N,4,2
ID50,ID50_3,T,11,2010,F,11/14/10,11/14/15,0,8,5,LARGE,5,6/4/02,8.45,0.053,4.655,30.142,0.047,16.361,0.104117838,-0.373549406,-0.232600182,-0.236370815,Mid,Mid_2010,Above,Below,Middle-aged,N,2,3
ID70,ID70_1,G,11,2010,M,11/27/10,11/27/15,0,4,1,SMALL,5,7/18/01,9.36,0.067,8.265,28.696,0.077,24.452,0.362401878,0.275587717,0.160009354,0.641602573,Mid,Mid_2010,Above,Above,Middle-aged,N,3,3
ID47,ID47_2,C2,12,2010,M,12/8/10,5/21/11,1,1,1,SMALL,0.45,5/25/89,21.54,0.005,12.646,156.186,0.147,37.125,1.968165971,-1.307475026,-1.615449079,2.712133676,Small,Small_2010,Above,Below,Old,N,1,4
ID80,ID80_1,T,6,2011,M,6/30/11,6/29/16,0,8,3,LARGE,5,4/18/06,5.2,0.048,4.118,46.047,0.046,21.738,-0.179026877,-1.276891148,-1.135941925,-0.51951553,Mid,Mid_2011,Below,Below,Young,Y,1,2
ID60,ID60_1,T,7,2011,M,7/14/11,3/25/12,1,9,3,LARGE,0.7,4/8/84,27.26,0.073,6.958,44.843,0.013,22.993,-0.829779105,-0.618115394,-0.413034275,-1.325190095,Mid,Mid_2011,Below,Below,Old,Y,2,1
ID63,ID63_1,T,7,2011,M,7/19/11,7/18/16,0,9,3,LARGE,5,11/15/05,5.67,0.112,4.707,48.129,0.043,22.993,-0.099218495,0.525813552,0.730894672,-0.594629485,Mid,Mid_2011,Above,Above,Young,Y,3,3
ID91,ID91_1,K,8,2011,F,8/24/11,8/23/16,0,2,2,SMALL,5,5/30/91,20.24,0.092,22.493,34.914,0.101,59.402,0.278843046,0.397460338,0.153618181,0.867888415,Small,Small_2011,Above,Above,Old,Y,3,3
ID39,ID39_5,Z,8,2011,F,8/30/11,7/2/13,1,7,1,MEDIUM,1.84,3/26/01,10.43,0.063,6.929,36.865,0.023,8.751,-0.891498953,-0.760495849,-0.683678522,-1.077065269,Mid,Mid_2011,Below,Below,Middle-aged,N,2,1
ID9,ID9_1,B1,9,2011,F,9/5/11,10/29/13,1,9,1,LARGE,2.15,12/1/98,12.76,0.085,5.918,63.541,0.012,94.581,-0.858850407,-0.258138894,-0.053057774,-1.354261396,Mid,Mid_2011,Below,Below,Middle-aged,N,2,1
ID73,ID73_1,T,9,2011,M,9/5/11,8/2/12,1,9,3,LARGE,0.91,6/16/94,17.22,0.052,6.490,46.813,0.095,23.487,1.204141064,-1.205710463,-1.000629343,0.708730075,Mid,Mid_2011,Above,Below,Old,Y,1,4
ID112,ID112_3,T,9,2011,M,9/17/11,6/16/12,1,9,3,LARGE,0.75,6/7/90,21.28,0.042,7.183,46.634,0.079,23.744,0.798021149,-1.491989876,-1.286908756,0.30261016,Mid,Mid_2011,Above,Below,Old,Y,1,4
ID5,ID5_1,Z,9,2011,M,9/18/11,9/17/16,0,7,1,MEDIUM,5,11/6/02,8.87,0.138,6.387,37.916,0.019,8.751,-0.998817264,1.394708351,1.471525677,-1.184383579,Mid,Mid_2011,Below,Above,Middle-aged,N,4,1
ID54,ID54_5,C3,9,2011,F,9/21/11,6/13/12,1,3,1,SMALL,0.73,9/4/02,9.05,0.089,23.329,214.983,0.144,126.103,1.507458402,0.241732161,0.062021901,1.941581434,Small,Small_2011,Above,Above,Middle-aged,Y,3,4
ID58,ID58_1,H2,9,2011,F,9/21/11,10/1/12,1,2,1,SMALL,1.03,7/19/02,9.17,0.055,5.102,35.955,0.136,44.474,1.136162644,-0.693947535,-0.937789691,1.725208013,Far,Far_2011,Above,Below,Middle-aged,N,2,4
ID34,ID34_4,M,9,2011,M,9/24/11,6/16/12,1,10,2,LARGE,0.73,9/9/98,13.04,0.152,6.289,60.515,0.046,28.891,0.149636051,1.623726478,1.892939494,-0.500697275,Mid,Mid_2011,Above,Above,Middle-aged,Y,4,3
ID11,ID11_3,A,9,2011,F,9/25/11,9/24/16,0,3,1,SMALL,5,11/3/03,7.89,0.063,10.544,25.854,0.059,18.248,-0.632785657,-0.520798243,-0.700508503,-0.198662625,Mid,Mid_2011,Below,Below,Young,N,2,1
ID68,ID68_1,K,9,2011,F,9/30/11,1/6/12,1,2,2,SMALL,0.27,3/1/01,10.58,0.088,15.713,40.848,0.047,60.308,-1.07558055,0.262978726,0.019136569,-0.486535181,Small,Small_2011,Below,Above,Middle-aged,Y,3,1
